date,regime,raw_branch,m1_c_sma50,m2_sma50_sma200,m3_sma200_slope,atr_pct,hi_vol_thresh,atr_pct_rank,high_vol_flag
2022-01-03,trend_up,trend_up,0.02708462423937763,0.0627718766326879,0.018784284864103773,0.011389851972210076,0.013657485042833106,0.5916666666666667,False
2022-01-04,trend_up,trend_up,0.025663164098374436,0.06285664586728235,0.018922121509596934,0.011237955698487548,0.013651360194931593,0.5850622406639004,False
2022-01-05,trend_up,trend_up,0.0054140984652397695,0.06248582397150049,0.01888228588664309,0.012118809920755055,0.013619833544611179,0.6611570247933884,False
2022-01-06,trend_up,trend_up,0.003953250972865252,0.062058296866887686,0.018896238025665424,0.012086516964763839,0.013588306894290764,0.6502057613168725,False
2022-01-07,chop,chop,-0.0005369468311130499,0.061687994585245765,0.01878934015921363,0.011965031543630553,0.013556780243970347,0.639344262295082,False
2022-01-10,chop,chop,-0.00208838798827482,0.06117548330900968,0.01852812113570268,0.012580389584728867,0.013525253593649932,0.7061224489795919,False
2022-01-11,trend_up,trend_up,0.006547756539507121,0.060760729681531345,0.018476654893365918,0.012762390788813619,0.013493726943329513,0.7317073170731707,False
2022-01-12,trend_up,trend_up,0.00879434276733737,0.06034054115738097,0.018454111676876384,0.012464852864844618,0.013477513741579208,0.6963562753036437,False
2022-01-13,chop,chop,-0.005217506013280859,0.05963941302644704,0.018192729954985998,0.01318775889504114,0.013461300539828901,0.7862903225806451,False
2022-01-14,chop,chop,-0.00481062449032732,0.05886920051663824,0.017877989839795605,0.013038484819380485,0.013445087338078593,0.7630522088353414,False
2022-01-18,high_vol,chop,-0.02199855171202214,0.057795433461501844,0.017561217802223972,0.013797858292688701,0.013525253593649932,0.824,True
2022-01-19,high_vol,chop,-0.03145732280439362,0.056488621547889695,0.017228082989540594,0.014235369802574603,0.013651360194931593,0.8406374501992032,True
2022-01-20,high_vol,chop,-0.04126539662319406,0.055003980217549264,0.016801763500867928,0.01564325973428252,0.013675859586537638,0.9285714285714286,True
2022-01-21,high_vol,chop,-0.05889845695273732,0.0533214343832733,0.0162271879919913,0.016465549914506748,0.013698011993407866,0.9407114624505929,True
2022-01-24,high_vol,chop,-0.053934997177980115,0.05190752973962587,0.015653026569310002,0.018411006627446293,0.013716393224162056,0.9960629921259843,True
